class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
open,-0.14512869529262024,-0.03165708723100092,-0.049891471983335114,-0.28656515992235854,-0.1355063105716405,-0.09775119747028431,-0.4070398319009905,-0.2010054978056789,-0.14983879713087248,-0.5042655515589527,-0.23893506592761632,-0.20490842175449667,-0.19567536491183032,-0.4560980228083979,-0.07459143996750896,-0.2840525177128109,-0.6609283952697903,-0.14148109265825912,-0.3404122521406756,-0.7768416081302072,-0.18787686571185855,-0.3843272120314838,-0.8781045798063667,-0.22322015154974237,-0.09604882572710464,-0.49752973528031363,-0.11089578236194982,-0.14768298012226272,-0.7326821815637833,-0.17535708852927084,-0.1911304403633588,-0.8765401033128909,-0.21875935427973456,-0.2245340680724562,-1.0,-0.2554383730865216,0.0018098617562995487,-0.47689900145896147,-0.15563099470011924,-0.0003908282374197645,-0.7155625330079003,-0.23280815048957024,-0.014987913841908937,-0.8669664037139339,-0.2779008922788703,-0.028603580873397618,-0.9982753218974534,-0.30859808649711096,0.09852668410104361,-0.40252283240364145,-0.2057011931345527,0.15979498113344354,-0.5802738663654027,-0.2752626179588453,0.18906643614618618,-0.7033109067411073,-0.30828576684639947,0.21012964082505298,-0.8166626085525123,-0.3313385395590194
open,-0.15196592138006565,-0.06871860740336652,-0.026542471547180046,-0.2900233692621663,-0.17510794349360906,-0.06324808911909208,-0.40253805809135157,-0.2473423966008606,-0.10992450822100769,-0.5050885029700585,-0.2874374561077854,-0.15839519428398918,-0.2195967078910151,-0.48610400861820113,-0.020887644689026395,-0.3081877975189843,-0.6785620340022377,-0.0711213104994616,-0.35918108500035123,-0.7909246733781724,-0.10932524003645612,-0.4019303369224035,-0.8892906601061379,-0.13739252942666333,-0.1326225140554884,-0.5302827160584301,-0.059707171193206295,-0.18514499482334767,-0.7561216736426503,-0.10046514948481033,-0.2216511629251002,-0.8858576908871555,-0.13523562571120507,-0.252870990984099,-0.9964019927772935,-0.16473633272328853,-0.03812354053824911,-0.5171323449284745,-0.10746013185285307,-0.046492576000745474,-0.7450294515381989,-0.15944793715305153,-0.06052962423229772,-0.8820558587508244,-0.1967982865599544,-0.07711493073795879,-1.0,-0.2233241090792768,0.0591169704170272,-0.45799392552901386,-0.15994454067689295,0.10808928710910794,-0.6203672506688359,-0.2056529627330484,0.13241231402764048,-0.729752056316925,-0.22852285088196725,0.14625191245979136,-0.8328537996246785,-0.24573150354447415
open,-0.15402294695757746,-0.07201084699324363,-0.02642489367849614,-0.2973883980962385,-0.1796597456292212,-0.05935576671881193,-0.41584875160204127,-0.2537127103419893,-0.10151286979001507,-0.5152791578817206,-0.2957829642302008,-0.1454363220801438,-0.22488256971165418,-0.4897389943772086,-0.015540325374502348,-0.30919103281634125,-0.6760690006737078,-0.06199215572550282,-0.35815743511767006,-0.7886237770828728,-0.09732719937350229,-0.3974272164672167,-0.8878555579308658,-0.12334999103325449,-0.13749066585220504,-0.5336836540701996,-0.05287352397845279,-0.19139495480449908,-0.7579876298466598,-0.09114370489129121,-0.22688403737346832,-0.887785941664368,-0.12352502817359351,-0.25706061988538753,-1.0,-0.15098628723854118,-0.04328622612349183,-0.5222769314391137,-0.09937262599555369,-0.05125327231443234,-0.74564498223416,-0.14716775286906952,-0.06359470285933601,-0.8783733842895195,-0.18044575830948337,-0.08089653580573312,-0.9914413981039669,-0.20413888481678355,0.05366927319948389,-0.463459949135094,-0.15120666775350802,0.09892568834756968,-0.6272289299888559,-0.1935360961863126,0.12164335038992716,-0.7400134887601678,-0.21447811745931541,0.1335876517782179,-0.8436111344889512,-0.2299115842988787
open,-0.15073992478303652,-0.07133983857533127,-0.024960086968071057,-0.2902311265115356,-0.17964876038158512,-0.05472809887322678,-0.4041897142259007,-0.2554239014565942,-0.09362404127255608,-0.5017755034831172,-0.2944338755794703,-0.13416925841129962,-0.22210185840310348,-0.4936860015177691,-0.011677370972653494,-0.30946381374790716,-0.6817289039228456,-0.056122779139414054,-0.35737068473901434,-0.7932260542792547,-0.09029798099431158,-0.39529306422967786,-0.8953304653389231,-0.11565888009722808,-0.13709555576073362,-0.5369095870769416,-0.0480463691052519,-0.19426703947631535,-0.757857071969609,-0.08461356013629309,-0.22896304869155368,-0.8858411990869686,-0.11592590303311887,-0.2575310774827548,-1.0,-0.14289289741826192,-0.04549604239483623,-0.5262195353770056,-0.09348370225063335,-0.05602883662553614,-0.742447321216526,-0.139598961360087,-0.06739075049584242,-0.8739170342179415,-0.1724786097748478,-0.08284802411050782,-0.9897525898108023,-0.19604785070760924,0.0499629445115662,-0.46826460334333825,-0.14419419063258976,0.09175417867904713,-0.6260923469183708,-0.18519831969036324,0.11643459052080612,-0.7344101561169205,-0.20576123045452593,0.13221341492617786,-0.8369154873179381,-0.2209955940752693
open,-0.15037453009606536,-0.07122371932744972,-0.023870597093943638,-0.2906626131791723,-0.1831989686899717,-0.050534521608490236,-0.40424426445491896,-0.26304680728874746,-0.0861154023446942,-0.5000840851001453,-0.3035246214978242,-0.1230967588582398,-0.2254523590137596,-0.49656832391287375,-0.007055733608456852,-0.3129129111792772,-0.6846611709314546,-0.04926422086118704,-0.35897046203382027,-0.7979746283877824,-0.08168927091692166,-0.3944492287890315,-0.8997790946369018,-0.10562057282535224,-0.13885549887689916,-0.5400472231962429,-0.04193834572981976,-0.19659485464447188,-0.7611889030759835,-0.07574335621033725,-0.2307745693525121,-0.8890547931142586,-0.1054391858905704,-0.25843392379480323,-1.0,-0.13119062431053355,-0.046610881013559285,-0.5296123877683538,-0.08605809583894214,-0.05924435356002509,-0.7445881198044507,-0.12990098477457288,-0.0708912694315019,-0.8747262527989671,-0.1619021110129142,-0.0861818311425609,-0.9874728260801359,-0.1847550921058147,0.04972918322745722,-0.47228216248805555,-0.1354580215805037,0.08894634843510099,-0.6303615232605742,-0.17488492891295032,0.11288876495051905,-0.73798041143467,-0.19526886712772074,0.12840861543466098,-0.8390180717705235,-0.21017775150920204
open,-0.15111009868239816,-0.07186735445346554,-0.02438582001228976,-0.2924648331224746,-0.18185469525959658,-0.051189572578675104,-0.40701117110262564,-0.2615132766859015,-0.0869964844946926,-0.5018974729293564,-0.30280975812541155,-0.12403038698681401,-0.2285882512505476,-0.49817654174549103,-0.006809977760603561,-0.31608778626198153,-0.688817891047075,-0.048845618746702735,-0.36227639482827895,-0.8026566794153429,-0.08136401088207468,-0.39755710666792965,-0.9048579704409165,-0.10542323035578305,-0.14101776953006306,-0.5425968515256674,-0.04160696916553759,-0.19898941206653958,-0.7631656958472398,-0.07503907182274112,-0.23215309967450162,-0.8899561574904449,-0.10454029536585045,-0.25795456419354107,-1.0,-0.13024456768718715,-0.04760588093250309,-0.5329643337471253,-0.08572625078089317,-0.06134320911523318,-0.7470007118958968,-0.12930287795644843,-0.07389489634941472,-0.875307515634162,-0.16115596093610285,-0.08913629476401783,-0.9860340444494554,-0.18403413342046357,0.050543330351014916,-0.4759640858810552,-0.1352861542831423,0.08998279766011362,-0.6321639398203169,-0.17450386518949226,0.1143870594225347,-0.7390004797531514,-0.19474381079445868,0.13084528977128698,-0.8386647548126477,-0.2095854948111111
open,-0.14997833231176752,-0.06785269790778764,-0.024560524581247252,-0.29033257288929043,-0.17982065424162252,-0.05135256625029528,-0.4020661130902381,-0.2628181566841561,-0.08688080178316236,-0.495839403919897,-0.3064097524335994,-0.12388852306612173,-0.22807760838262803,-0.49404819115764803,-0.010274405604480766,-0.31444144002462593,-0.685696990636127,-0.053389580518974356,-0.3601581334850867,-0.8002980968170882,-0.08639062597364296,-0.3949073256396161,-0.9028239983806322,-0.11075118082127698,-0.13918912660058033,-0.538607511405048,-0.04503590134035197,-0.19613392708432648,-0.7600472857462993,-0.08010127144627013,-0.2282055890121405,-0.8888480491920384,-0.11055445253253927,-0.2511494711832648,-1.0,-0.1368489807929716,-0.04463195441515755,-0.5287600986328134,-0.08876706467524335,-0.05819970732171763,-0.7434456694489983,-0.13391505388926295,-0.07106253466410827,-0.8718146272828642,-0.1664280199912968,-0.08585281221306762,-0.98265849568833,-0.18969649819453133,0.05475455134339022,-0.47174021273941374,-0.13774668363098075,0.0936899486051982,-0.6287483197704399,-0.17851872226306909,0.11647179078573011,-0.7355153858648233,-0.1993912405257888,0.1318025026663706,-0.8350994101150884,-0.2145737812844585
open,-0.14863156634343,-0.06981786934834999,-0.024848480975022555,-0.288419520250786,-0.1848114393317713,-0.051751655340415884,-0.4010587761362288,-0.2719897991026607,-0.08734845244282262,-0.4962125868675055,-0.3187063037509963,-0.12430987129988724,-0.2222618593355369,-0.4970253143547357,-0.009699426602236286,-0.309691824197562,-0.6889127392718439,-0.05214607632034141,-0.35691440855227746,-0.8061163645503426,-0.08528851727971984,-0.39217668599052025,-0.9103863925079856,-0.11016414460497186,-0.13390021216869957,-0.5408349910813234,-0.044339222129404714,-0.19084161381253256,-0.7614111354361249,-0.07874979301926957,-0.22239998779147924,-0.8898308826401813,-0.1092835593942252,-0.24345407747310752,-1.0,-0.13599590225435684,-0.04021272825678432,-0.530068927925576,-0.08797157938541707,-0.05303415327158683,-0.745728664452394,-0.1326805910541412,-0.06520797886830274,-0.874905509505853,-0.16560008955523875,-0.07847431055281186,-0.9857387260473812,-0.1895442302250496,0.058700159056417,-0.4718800658920995,-0.13688384877268822,0.10018721688313205,-0.6294567214787075,-0.17743801779013643,0.12552628865599513,-0.7355027239935845,-0.19854163937086206,0.14350881364547408,-0.8337393166476158,-0.2141416115364782
open,-0.1462238223438767,-0.07138783735034467,-0.02503706931586971,-0.2832265341282334,-0.19003169728214886,-0.05201394184634875,-0.3945862164117424,-0.27993403520948973,-0.087605483649382,-0.4905734670459816,-0.32738458607942,-0.1246970932959498,-0.21509518643598996,-0.49443859148994185,-0.011520578281327567,-0.30051006595826707,-0.685910398261118,-0.05399703608558462,-0.3456159703680316,-0.8029180547953962,-0.08647253739385585,-0.37897046131646467,-0.9068625692216064,-0.11075707350390329,-0.12599118425455938,-0.5372850452627274,-0.046236123061648246,-0.18064737083471685,-0.757477499104661,-0.08102064889731424,-0.21016087398128694,-0.8873177601978943,-0.11106055916119298,-0.23048549224724532,-1.0,-0.13727858708011212,-0.03164392059958028,-0.5258658041839891,-0.08989015544649852,-0.040064999324826364,-0.7407947739603468,-0.1349934178724659,-0.049939756246008486,-0.8704172181671939,-0.16787315085597013,-0.06228701859630422,-0.9809789561097996,-0.1916110327938685,0.06698218259174044,-0.46643473745530645,-0.1387516235153519,0.11280683706266198,-0.6217297622410285,-0.17947178589624244,0.14077468183665495,-0.7268207019326927,-0.20061383721074355,0.16037781020640743,-0.8231662838508251,-0.2161745020512884
open,-0.14428684471994077,-0.07356930738975458,-0.02632326656503899,-0.2783579638067227,-0.19530695431909054,-0.05407697566794089,-0.38869582902725525,-0.2880467616783151,-0.08997214144784708,-0.48534334726331535,-0.3370549534304946,-0.12754045845321874,-0.206353148341243,-0.49116444583927454,-0.01618508577108019,-0.2871667675536313,-0.683344631934833,-0.05916594865210823,-0.3303466925312649,-0.8003824168780579,-0.09150319535485092,-0.36233888414737897,-0.9046544872890571,-0.11565117838342394,-0.11739684652697846,-0.5330229459901651,-0.050171504853163684,-0.16661043975138862,-0.7543482455540714,-0.08585260215709342,-0.19438382067200297,-0.8855429620443234,-0.11601240671811391,-0.2138544726659319,-1.0,-0.1423166979210986,-0.023767009565048697,-0.5207400422154764,-0.09276615863471101,-0.027470361616720722,-0.7353198062475022,-0.1384953312545123,-0.035781431719943434,-0.8648621877980708,-0.1713809410762998,-0.046875457176301906,-0.9760139693854059,-0.19512918299413962,0.0737335243028324,-0.460565752028421,-0.14050045560418564,0.12321976973530514,-0.613714054172162,-0.18137142236023104,0.15376893781046852,-0.718849501520212,-0.2024843575244613,0.17592310269350275,-0.8151744508198693,-0.21812523650982496
